,Precision@5,Recall@5,F1@5,NDCG@5,Precision@10,Recall@10,F1@10,NDCG@10,Precision@20,Recall@20,F1@20,NDCG@20,MAP,Coverage,Diversity
Collaborative Filtering,0.006000000000000001,0.0011780083655083655,0.0019693624841713637,0.005551553341043619,0.004,0.001485773517023517,0.0021667296506687303,0.004251953313408915,0.0032500000000000003,0.0022817541567541565,0.002681139038110214,0.003931155745182669,0.011947139461845344,0.9878048780487805,1.0
Content-Based,0.004,0.0005904922779922779,0.0010290700730694422,0.004152099486815959,0.0025,0.0007375511015216897,0.001139057081099093,0.0030125324019087906,0.002,0.001192375076566253,0.001494028800461357,0.0024585706344237056,0.008400735294117646,0.5609756097560976,1.0
Hybrid,0.0030000000000000005,0.00044884169884169887,0.0007808564231738036,0.0020423925243369502,0.0015000000000000002,0.00044884169884169887,0.0006909361069836553,0.0013253729982639637,0.026249999999999996,0.015150931169351588,0.01921270522001682,0.01767081866108801,0.02780764600037046,0.9939024390243902,1.0
